     Flute2  Id            ;Mode ; DielNE ; DielNW ; DielSW  ;  LineW_Pstop ;  ;LineW_Strip ;  ; RPoly ; GCD I_surf   ;  GCD S_0   ; GCD Vfb_Acc_Dep
                           ;     ;   [V]    ; [V]    ; [V]     ;  [um]        ;  ;[um]        ;   ;[MOhm] ;   [pA]       ;  [cm/sec]  ;    [V]      
                           ;     ;        ;        ;         ; stad    ; rot     ; stad  ;    rot ;   ;       ;              ;            ; 
     Spec Limit            ;     ;>150    ;>150    ; >150    ;         ;       ;        ;      ;       ;              ;            ;  
VPX37408_004_2-S_HM_E_Left;Quick;200;200;200;49.0742;49.1835;33.8613;33.6484;1.6077;3.62153;1.13963;-2.77778
VPX37408_004_2-S_HM_W_Left;Quick;200;200;200;50.7786;50.878;33.8095;33.9329;1.52732;3.74253;1.13656;-2.94294
VPX37408_016_2-S_HM_E_Left;Quick;200;200;200;49.4576;49.131;34.0208;34.0834;1.59138;3.9213;1.08999;-2.80781
VPX37408_016_2-S_HM_W_Left;Quick;200;200;200;48.1044;47.9914;33.9998;34.0543;1.5052;4.1512;1.08495;-2.95796
VPX37408_027_2-S_HM_E_Left;Quick;200;200;200;48.9273;48.7329;33.7928;33.7528;1.54888;3.79427;0.924557;-2.74775
VPX37408_027_2-S_HM_W_Left;Quick;200;200;200;50.2377;49.8553;33.8896;34.1713;1.48723;4.13423;0.915414;-2.85285
VPX37408_034_2-S_HM_E_Left;Quick;200;200;200;48.0187;47.6779;33.9729;34.0548;1.54108;4.5918;0.999256;-2.73273
VPX37408_034_2-S_HM_W_Left;Quick;200;200;200;50.4877;50.4935;33.6337;33.7706;1.49658;4.5941;1.0624;-2.79279
