     Flute1  Id            ;Mode ;CAP_E  ; CAP_W ; VDPPoly;   ;   VDPStop;  ;  VdPStrip;  ; FET_Vth ; C_acc  ;  t_ox  ;  VFB_Deb  ; Nox_Deb
                           ; ; [pF] ;  [pF] ;[kOhm/sq];  ;  [kOhm/sq]; ;  [Ohm/sq];  ;   [V] ;   [pF]  ;  [um]  ;    [V]    ; [cm^{-2}] 
                           ; ;      ;       ; stad ; rot ; stad ;  rot ; stad ;  rot ;        ; ; ; ; 
     Spec Limit            ; ;>2.028 ;>2.028 ; 2.2-2.4 ;2.2-2.4 ;18- 20 ;18 - 20 ;32 - 35 ;32 - 35 ; ;  ~82 ;  0.7 ;  <5 ;  
VPX37897_001_2-S_HM_E_Left;Quick;2.4648;2.43971;1.94869;1.95299;18.0524;18.0031;34.6307;34.8748;4.06667;87.4578;0.657044;-2.66333;6.07971e+10
VPX37897_001_2-S_HM_W_Left;Quick;2.44676;2.41765;1.97012;1.97198;18.7108;18.6992;34.9363;34.9958;4.0026;85.6344;0.671034;-2.80971;6.35723e+10
VPX37897_012_2-S_HM_E_Left;Quick;2.4501;2.44735;1.97646;1.96252;18.2736;18.4315;34.7991;34.7186;4.04024;87.16;0.659289;-2.86628;6.67348e+10
VPX37897_012_2-S_HM_W_Left;Quick;2.46922;2.4452;1.96059;1.9549;18.7839;18.8486;34.9888;34.952;4.0026;85.4498;0.672484;-2.78482;6.29818e+10
VPX37897_026_2-S_HM_E_Left;Quick;2.46363;2.44618;1.93598;1.92677;17.9893;18.0563;34.9329;34.7458;4.2041;87.7517;0.654843;-2.6012;5.86425e+10
VPX37897_026_2-S_HM_W_Left;Quick;2.43657;2.46;1.94658;1.95178;19.0477;19.0099;34.2056;34.2204;3.88288;85.5646;0.671581;-2.72436;6.07025e+10
VPX37897_039_2-S_HM_E_Left;Quick;2.4699;2.45559;1.94132;1.94069;18.1902;18.2329;34.9314;34.601;4.21842;87.6219;0.655813;-2.75588;6.35606e+10
VPX37897_039_2-S_HM_W_Left;Quick;2.48529;2.44216;1.96954;1.95638;18.8654;18.942;35.1316;34.5217;4.01351;86.5293;0.664094;-2.65088;5.94088e+10
