     Flute3  Id            ;Mode ;   VDPBulk  ;  ; VDPBulk_Res;     ; Diode I600  ; Diode Cap    ; Diode Vdep; Diode Rho_Bulk 
                           ;     ;  [kOhm/sq] ;  ;  [kOhmcm] ;      ;    [nA]     ;  [pF]        ;    [V]    ;   [kOhm cm]    
                           ;     ;  stad  ;  rot ; F=1.089 ; F=1.218;             ;              ;           ;   mu_h = arora   
     Spec Limit            ;     ;        ;      ; 3.5-8.0 ; 3.5-8.0;     <2.5    ;             ; < 350      ;                
VPX37897_001_2-S_HM_E_Left;Quick;78.0857;77.5893;3.7632;4.20898;0.103887;2.74407;201.107;4.17846
VPX37897_001_2-S_HM_W_Left;Quick;76.0501;77.5398;3.6651;4.09926;0.269218;2.8055;207.317;4.04763
VPX37897_012_2-S_HM_E_Left;Quick;79.4537;78.9756;3.82913;4.28271;0.163159;2.76031;230.246;3.62932
VPX37897_012_2-S_HM_W_Left;Quick;79.4187;79.4004;3.82744;4.28083;0.24485;2.78938;213.819;3.91636
VPX37897_026_2-S_HM_E_Left;Quick;77.0648;76.357;3.714;4.15395;0.176129;2.7439;211.215;3.96463
VPX37897_026_2-S_HM_W_Left;Quick;75.2462;75.5491;3.62635;4.05592;0.234265;2.75836;214.978;3.90068
VPX37897_039_2-S_HM_E_Left;Quick;77.2189;77.672;3.72143;4.16226;0.201329;2.75405;221.276;3.79758
VPX37897_039_2-S_HM_W_Left;Quick;77.3424;77.302;3.72738;4.16891;0.261329;2.77217;218.77;3.84912
